chip,fet_size,GateV_V,DrainI_at_Vd_A,R_at_Vd_ohm,GateI_at_Vd_A
19,nmos1_pattern2,0.0,6.514204869745299e-05,76755.33852522966,-3.105228574273866e-10
19,nmos1_pattern2,1.0,0.002604476874694228,1919.7713170661236,-5.707055383830095e-10
19,nmos1_pattern2,2.0,0.0037065609358251095,1348.9593417103665,5.4010462768872e-10
19,nmos1_pattern2,3.0,0.007182378321886063,696.148236130093,3.2615468659180635e-10
19,nmos1_pattern2,4.0,0.011312042362987995,442.00683126502065,4.471230052871533e-10
19,nmos1_pattern2,5.0,0.014914221130311489,335.2504938952567,1.282923323131513e-09
19,nmos1_pattern2,6.0,0.018566172569990158,269.30698727221034,3.208598942094909e-09
19,nmos1_pattern3,0.0,0.0028777013067156076,1737.497907907136,-0.0005387072451412678
19,nmos1_pattern3,1.0,0.0038074825424700975,1313.2036573321382,-0.0003112213162239641
19,nmos1_pattern3,2.0,0.004779019393026829,1046.2397384902033,-0.00013750365178566426
19,nmos1_pattern3,3.0,0.00572269456461072,873.714286783733,-3.563443897292018e-05
19,nmos1_pattern3,4.0,0.006737122777849436,742.1565800224373,-4.084074134880211e-06
19,nmos1_pattern3,5.0,0.00916576199233532,545.508382628869,4.3806107896671165e-07
19,nmos1_pattern3,6.0,0.012768058106303215,391.60222786984707,4.5753854465147015e-06
19,nmos1_pattern4,0.0,1.658594010223169e-05,301460.1505360094,-3.7668523855671765e-10
19,nmos1_pattern4,1.0,0.0009171279380097985,5451.802079925931,-1.8425344583405945e-10
19,nmos1_pattern4,2.0,0.0017059820238500834,2930.863238943123,-1.8266087253859808e-10
19,nmos1_pattern4,3.0,0.0029438745696097612,1698.4419280685584,8.008730900677108e-10
19,nmos1_pattern4,4.0,0.004942028317600489,1011.7303420122163,4.4017358646897264e-09
19,nmos1_pattern4,5.0,0.0057178670540452,874.4519508306278,2.431671752844977e-09
19,nmos1_pattern4,6.0,0.006307442206889391,792.7143580544711,0.00019350400543771684
19,nmos1_pattern5,0.0,3.295011993031949e-05,151744.51597061363,-2.494021211774111e-09
19,nmos1_pattern5,1.0,0.0021924409084022045,2280.5631754261844,-5.054700547013624e-10
19,nmos1_pattern5,2.0,0.0033025990705937147,1513.9591252598336,-1.7693517484485e-10
19,nmos1_pattern5,3.0,0.0054651848040521145,914.8821456673876,1.4846114615441053e-10
19,nmos1_pattern5,4.0,0.008056470192968845,620.6191893273148,4.2393424881659314e-10
19,nmos1_pattern5,5.0,0.011856219731271267,421.7195795395302,1.3543255406034405e-09
19,nmos1_pattern5,6.0,0.014315780252218246,349.26493086014256,3.8250553835439405e-09
19,nmos1_pattern7,0.0,3.293721965746954e-05,151803.9486027502,-1.4061799502584904e-09
19,nmos1_pattern7,1.0,0.0019085141830146313,2619.8390583098267,7.544846969409491e-10
19,nmos1_pattern7,2.0,0.003634784137830138,1375.5975074175537,2.4086452832250416e-09
19,nmos1_pattern7,3.0,0.005902535747736692,847.0935566831989,1.8326536954660355e-09
19,nmos1_pattern7,4.0,0.009019263088703156,554.3690156086722,5.482440723625359e-09
19,nmos1_pattern7,5.0,0.011239617131650448,444.85501075656214,2.8078165570377678e-08
19,nmos1_pattern7,6.0,0.013686159625649452,365.33257953746346,2.8350966658763355e-06
19,nmos2_pattern1,0.0,1.5690466170781292e-05,318664.84689352155,-5.571119121583479e-10
19,nmos2_pattern1,1.0,0.0005668784724548459,8820.23263001625,1.0203224376503783e-10
19,nmos2_pattern1,2.0,0.001723322900943458,2901.3715289587794,-1.7559918796816731e-10
19,nmos2_pattern1,3.0,0.0027558128349483013,1814.3467279750148,-2.511306440577954e-11
19,nmos2_pattern1,4.0,0.003645228920504451,1371.65596702993,2.1498015867482678e-10
19,nmos2_pattern1,5.0,0.004616869613528252,1082.9848833826945,5.365765609610662e-10
19,nmos2_pattern1,6.0,0.0057071177288889885,876.0989763169571,8.366567438855554e-10
19,nmos2_pattern1,7.0,0.006465924438089132,773.284632054507,1.5677265041702526e-09
19,nmos2_pattern1,8.0,0.006963170133531094,718.0637416745768,3.3907057161997045e-09
19,nmos2_pattern1,9.0,0.007399334572255611,675.7364396993067,0.00044817710295319557
19,nmos2_pattern3,0.0,7.249789632624015e-06,689675.1841598308,-9.599656625169928e-10
19,nmos2_pattern3,1.0,0.0005376268527470529,9300.130703018365,-3.7171088429488464e-10
19,nmos2_pattern3,2.0,0.0018905274337157607,2644.764583062774,-2.587537684117791e-10
19,nmos2_pattern3,3.0,0.0036765895783901215,1359.9559845864992,8.989511912638193e-11
19,nmos2_pattern3,4.0,0.005532294511795044,903.7841332090738,2.012471966850171e-09
19,nmos2_pattern3,5.0,0.007480483502149582,668.4059925489049,4.372578743527811e-09
19,nmos2_pattern3,6.0,0.008710741996765137,574.0039140014507,6.79568401551478e-09
19,nmos2_pattern4,0.0,1.045349745254498e-05,478308.81699624023,-8.357691205773676e-10
19,nmos2_pattern4,1.0,0.00048280306509695947,10356.189430976105,-8.900298831271414e-10
19,nmos2_pattern4,2.0,0.0014775044983252883,3384.084451632713,8.348051694362368e-10
19,nmos2_pattern4,3.0,0.0028350369539111853,1763.6454414119914,1.166736574020888e-08
19,nmos2_pattern4,4.0,0.0041412771679461,1207.3570053944952,2.1171100428318823e-08
19,nmos2_pattern4,5.0,0.004975292831659317,1004.9659726927958,0.00013145427510607988
19,nmos2_pattern4,6.0,0.00555435661226511,900.1942707385799,0.00017628334171604365
19,nmos2_pattern5,0.0,2.345352368138265e-05,213187.5818715031,-3.820400706899818e-07
19,nmos2_pattern5,1.0,0.0006206477410160005,8056.099570772623,-1.0374782144495498e-09
19,nmos2_pattern5,2.0,0.0020174579694867134,2478.366377700603,-1.0464654837116782e-10
19,nmos2_pattern5,3.0,0.0037282032426446676,1341.1286012543567,3.5453859292822187e-10
19,nmos2_pattern5,4.0,0.005623997654765844,889.0473124153846,2.5976991668841265e-09
19,nmos2_pattern5,5.0,0.007679380942136049,651.094149082443,4.277274534558728e-09
19,nmos2_pattern5,6.0,0.009283861145377159,538.5690201204397,6.761537996169409e-09
19,nmos2_pattern6,0.0,1.2222950317664072e-05,409066.54040589684,-2.621358130561191e-10
19,nmos2_pattern6,1.0,0.0005689123063348234,8788.70072650061,-1.0447737119889666e-09
19,nmos2_pattern6,2.0,0.0017391856526955962,2874.908720785735,1.6715455686266978e-09
19,nmos2_pattern6,3.0,0.003399886889383197,1470.637160198907,2.7948292569135447e-09
19,nmos2_pattern6,4.0,0.005147878080606461,971.2739738022235,6.974483657273822e-09
19,nmos2_pattern6,5.0,0.006653693038970232,751.4623789698949,5.9280061748268054e-08
19,nmos2_pattern6,6.0,0.007825963199138641,638.8989920819358,4.686345533855274e-09
19,nmos2_pattern7,0.0,1.399455049977405e-05,357281.929139541,-1.3006786758751332e-09
19,nmos2_pattern7,1.0,0.0005566409672610462,8982.450617320743,-7.71889427375605e-11
19,nmos2_pattern7,2.0,0.0017264416674152017,2896.1302859921775,1.253406822776526e-09
19,nmos2_pattern7,3.0,0.0032993070781230927,1515.469727917656,1.2443031494058232e-08
19,nmos2_pattern7,4.0,0.004705711267888546,1062.538629201426,3.990063390801879e-08
19,nmos2_pattern7,5.0,0.006364378146827221,785.6227088726033,4.700878344010562e-05
19,nmos2_pattern7,6.0,0.007668538950383663,652.0146839379157,0.00024511103401891887
19,nmos3_pattern1,0.0,2.3057723410602193e-06,2168470.803019931,-2.5264432679250604e-07
19,nmos3_pattern1,1.0,0.0003711601602844894,13471.273415141231,2.502094957890222e-06
19,nmos3_pattern1,2.0,0.0012835054658353329,3895.581384802201,5.169000360183418e-06
19,nmos3_pattern1,3.0,0.0022979890927672386,2175.8153751630734,1.877100112324115e-05
19,nmos3_pattern1,4.0,0.003024570643901825,1653.1272000807978,5.978002809570171e-05
19,nmos3_pattern1,5.0,0.0035507946740835905,1408.135490484374,0.0001266102772206068
19,nmos3_pattern1,6.0,0.004003980662673712,1248.7572796271156,0.0002168983919546008
19,nmos3_pattern1,7.0,0.004325453657656908,1155.9481145171933,0.00037598502240143716
19,nmos3_pattern1,8.0,0.004884128458797932,1023.7240977954511,0.0006582585046999156
19,nmos3_pattern1,9.0,0.005114667117595673,977.5807271598985,0.0015405499143525958
19,nmos3_pattern2,0.0,1.11288591142511e-05,449282.35218623915,-3.931465986095617e-10
19,nmos3_pattern2,1.0,0.0004174661880824715,11977.017882493126,-3.484603716685797e-10
19,nmos3_pattern2,2.0,0.001370329991914332,3648.7561605617852,-1.3198141191050894e-10
19,nmos3_pattern2,3.0,0.002343414118513465,2133.639103946224,5.649092651993648e-11
19,nmos3_pattern2,4.0,0.00337428692728281,1481.7945562283041,1.780346703394997e-14
19,nmos3_pattern2,5.0,0.00498040160164237,1003.9351040187536,8.37563740585523e-10
19,nmos3_pattern2,6.0,0.006486924830824137,770.7812454125155,2.8174613753151334e-09
19,nmos3_pattern3,0.0,1.3703699551115278e-05,364864.97542870266,-1.2172336472104917e-09
19,nmos3_pattern3,1.0,0.0003890467050950974,12851.927376631593,-2.0637647146770632e-10
19,nmos3_pattern3,2.0,0.0013489137636497617,3706.68617575039,-2.2462282034396708e-10
19,nmos3_pattern3,3.0,0.0026365951634943485,1896.3851823855161,1.948390476735895e-10
19,nmos3_pattern3,4.0,0.004056822042912245,1232.4918241695123,2.1193395927099345e-09
19,nmos3_pattern3,5.0,0.005394457373768091,926.8772841386717,4.685056786968289e-09
19,nmos3_pattern3,6.0,0.006374289281666279,784.4011746346362,7.018993830598674e-09
19,nmos3_pattern4,0.0,1.1325604646117426e-05,441477.53309701383,-4.716547664429527e-06
19,nmos3_pattern4,1.0,0.00030810016323812306,16228.48864294701,1.6053208184985124e-07
19,nmos3_pattern4,2.0,0.0009536158759146929,5243.201299689019,2.849619704647921e-05
19,nmos3_pattern4,3.0,0.0018676399486139417,2677.175546448726,0.00020432000746950507
19,nmos3_pattern4,4.0,0.002900373423472047,1723.9159480417811,0.00042246756493113935
19,nmos3_pattern4,5.0,0.003798874793574214,1316.1792034992798,0.0006543106865137815
19,nmos3_pattern4,6.0,0.004461810924112797,1120.6212197336038,0.0009713492472656071
19,nmos3_pattern5,0.0,8.475633876514621e-06,589926.3787048004,-1.5747501080909387e-09
19,nmos3_pattern5,1.0,0.00044244766468182206,11300.77159203825,-1.2763237688950824e-10
